,Query,Code,replace_subsysname,replace_fngname,replace_scadades,replace_scadaname,replace_scadafno,replace_alarmno,replace_alarmdes,replace_feventdetails
4,What are some important details for the Transformer subsystem of the wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,What are general corrective activities for the Transformer subsystem of the wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,What are properties for Transformer subsystem of the wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Show all details about the wind turbine’s Transformer subsystem?,"MATCH(n{name:""Transformer""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,What are general inspection activities for Transformer of the wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n.InspectionActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Show general maintenance images for Transformer of the wind turbine,"MATCH(n{name:""Transformer""}) RETURN n.image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,What are useful visual inspection images for Transformer of wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n.visualinspection_image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Provide a list of general corrective activities for the wind turbine Transformer system,"MATCH(n{name:""Transformer""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,What are general corrective maintenance activities for Transformer system of the wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Provide general predictive activities for Transformer of wind turbine,"MATCH(n{name:""Transformer""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,What are general predictive activities for the Transformer of wind turbine?,"MATCH(n{name:""Transformer""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Show description of the wind turbine Transformer subsystem,"MATCH(n{name:""Transformer""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,What alarms affect the wind turbine's Transformer?,"MATCH(n)-[:AFFECTS]-(p{name:""Transformer""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,What fault events affect the wind turbine Transformer subsystem?,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Show all details of fault events relating to wind turbine Transformer subsystem,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,What are different parts of the Transformer subsystem of the wind turbine?,"MATCH(n{name:""Transformer""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,What does the Transformer of the wind turbine consist of?,"MATCH(n{name:""Transformer""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
